study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.2,18,6,12,0.680555555555556,61,18
ZhangDY_2015,0.5,0.2,122,47,75,0.56,58,23
BuschartA_2016,0.5,0.2,53,8,45,0.505555555555556,61,24
VQuintanaL_2024,0.5,0.2,53,21,32,0.787202380952381,61,17
BelstromD_2017,0.5,0.2,20,10,10,0.84,61,21
BostanciN_2021,0.5,0.2,154,126,28,0.530612244897959,63,17
CuiJ_2019,0.5,0.2,128,40,88,0.602556818181818,61,24
LiYJ_2023,0.5,0.2,19,10,9,0.588888888888889,61,24
ZhuJY_2023,0.5,0.2,74,73,1,0.520547945205479,60,24
ZellerG_2014,0.5,0.2,54,21,33,0.591630591630592,61,28
