study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.2,18,6,12,0.486111111111111,52,25
ZhangDY_2015,0.1,0.2,122,47,75,0.549787234042553,49,27
BuschartA_2016,0.1,0.2,53,8,45,0.480555555555556,52,24
VQuintanaL_2024,0.1,0.2,53,21,32,0.830357142857143,52,22
BelstromD_2017,0.1,0.2,20,10,10,0.76,52,26
BostanciN_2021,0.1,0.2,154,126,28,0.538548752834467,53,22
CuiJ_2019,0.1,0.2,128,40,88,0.574431818181818,51,29
LiYJ_2023,0.1,0.2,19,10,9,0.488888888888889,52,30
ZhuJY_2023,0.1,0.2,74,73,1,0.547945205479452,51,27
ZellerG_2014,0.1,0.2,54,21,33,0.552669552669553,52,32
