study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.2,18,6,12,0.472222222222222,52,19
ZhangDY_2015,0.5,0.2,122,47,75,0.557730496453901,49,20
BuschartA_2016,0.5,0.2,53,8,45,0.575,52,20
VQuintanaL_2024,0.5,0.2,53,21,32,0.849702380952381,52,19
BelstromD_2017,0.5,0.2,20,10,10,0.73,52,22
BostanciN_2021,0.5,0.2,154,126,28,0.551587301587302,53,9
CuiJ_2019,0.5,0.2,128,40,88,0.581534090909091,51,22
LiYJ_2023,0.5,0.2,19,10,9,0.577777777777778,52,24
ZhuJY_2023,0.5,0.2,74,73,1,0.506849315068493,51,24
ZellerG_2014,0.5,0.2,54,21,33,0.538239538239538,52,28
