study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.1,18,6,12,0.583333333333333,392,100
ZhangDY_2015,0.5,0.1,122,47,75,0.633475177304965,361,105
BuschartA_2016,0.5,0.1,53,8,45,0.644444444444444,395,120
VQuintanaL_2024,0.5,0.1,53,21,32,0.806547619047619,390,107
BelstromD_2017,0.5,0.1,20,10,10,0.73,392,112
BostanciN_2021,0.5,0.1,154,126,28,0.541950113378685,408,120
CuiJ_2019,0.5,0.1,128,40,88,0.662784090909091,390,94
LiYJ_2023,0.5,0.1,19,10,9,0.611111111111111,389,93
ZhuJY_2023,0.5,0.1,74,73,1,0.684931506849315,375,113
ZellerG_2014,0.5,0.1,54,21,33,0.643578643578644,393,91
