study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.611111111111111,103,38
ZhangDY_2015,0.1,0.01,122,47,75,0.541560283687943,102,38
BuschartA_2016,0.1,0.01,53,8,45,0.502777777777778,103,44
VQuintanaL_2024,0.1,0.01,53,21,32,0.857142857142857,104,35
BelstromD_2017,0.1,0.01,20,10,10,0.86,104,44
BostanciN_2021,0.1,0.01,154,126,28,0.531462585034014,105,43
CuiJ_2019,0.1,0.01,128,40,88,0.623295454545455,104,49
LiYJ_2023,0.1,0.01,19,10,9,0.6,104,42
ZhuJY_2023,0.1,0.01,74,73,1,0.602739726027397,104,57
ZellerG_2014,0.1,0.01,54,21,33,0.474747474747475,104,49
