study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.2,18,6,12,0.597222222222222,101,38
ZhangDY_2015,0.5,0.2,122,47,75,0.510070921985816,89,35
BuschartA_2016,0.5,0.2,53,8,45,0.594444444444445,102,38
VQuintanaL_2024,0.5,0.2,53,21,32,0.764880952380952,103,36
BelstromD_2017,0.5,0.2,20,10,10,0.82,102,33
BostanciN_2021,0.5,0.2,154,126,28,0.483560090702948,110,55
CuiJ_2019,0.5,0.2,128,40,88,0.515340909090909,96,41
LiYJ_2023,0.5,0.2,19,10,9,0.744444444444444,101,38
ZhuJY_2023,0.5,0.2,74,73,1,0.73972602739726,95,30
ZellerG_2014,0.5,0.2,54,21,33,0.564213564213564,102,35
