study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.01,0.638888888888889,644,201,18,6,12,0.166666666666667,0.75,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,0.1,0.01,0.582978723404255,621,203,122,47,75,0.361702127659575,0.786666666666667,0.574184397163121,,balanced_accuracy,0.574184397163121
ChenBY_2023,0.1,0.01,,641,203,56,0,56,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
BuschartA_2016,0.1,0.01,0.672222222222222,646,223,53,8,45,0.25,0.422222222222222,0.336111111111111,,balanced_accuracy,0.336111111111111
VQuintanaL_2024,0.1,0.01,0.791666666666667,642,220,53,21,32,0.238095238095238,1,0.619047619047619,,balanced_accuracy,0.619047619047619
ArmstrongA_2021,0.1,0.01,,646,229,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,0.1,0.01,0.83,647,222,20,10,10,0.8,0.6,0.7,,balanced_accuracy,0.7
BostanciN_2021,0.1,0.01,0.519274376417234,651,231,154,126,28,0.238095238095238,0.821428571428571,0.529761904761905,,balanced_accuracy,0.529761904761905
ChenLW_2022,0.1,0.01,,647,238,61,61,0,0.180327868852459,,,0.180327868852459,single_class_accuracy,0.180327868852459
CuiJ_2019,0.1,0.01,0.687215909090909,646,201,128,40,88,0.05,0.977272727272727,0.513636363636364,,balanced_accuracy,0.513636363636364
JiangQ_2021,0.1,0.01,,645,261,21,0,21,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
LiYJ_2023,0.1,0.01,0.755555555555556,646,239,19,10,9,0.3,0.888888888888889,0.594444444444445,,balanced_accuracy,0.594444444444445
preprint_CastilhosJ_2021,0.1,0.01,,647,212,224,0,224,,0.366071428571429,,0.366071428571429,single_class_accuracy,0.366071428571429
ShaiberA_2020,0.1,0.01,,647,193,35,35,0,0.228571428571429,,,0.228571428571429,single_class_accuracy,0.228571428571429
ZhuJY_2023,0.1,0.01,0.684931506849315,633,268,74,73,1,0.63013698630137,1,0.815068493150685,,balanced_accuracy,0.815068493150685
ZellerG_2014,0.1,0.01,0.630591630591631,641,253,54,21,33,0.380952380952381,0.666666666666667,0.523809523809524,,balanced_accuracy,0.523809523809524
