study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.05,18,6,12,0.638888888888889,86,36
ZhangDY_2015,0.1,0.05,122,47,75,0.56936170212766,77,38
BuschartA_2016,0.1,0.05,53,8,45,0.491666666666667,88,40
VQuintanaL_2024,0.1,0.05,53,21,32,0.858630952380952,87,33
BelstromD_2017,0.1,0.05,20,10,10,0.85,87,40
BostanciN_2021,0.1,0.05,154,126,28,0.532879818594104,88,37
CuiJ_2019,0.1,0.05,128,40,88,0.621590909090909,87,48
LiYJ_2023,0.1,0.05,19,10,9,0.622222222222222,83,41
ZhuJY_2023,0.1,0.05,74,73,1,0.589041095890411,87,54
ZellerG_2014,0.1,0.05,54,21,33,0.467532467532468,87,42
