study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.01,18,6,12,0.597222222222222,644,125
ZhangDY_2015,1,0.01,122,47,75,0.570212765957447,621,120
BuschartA_2016,1,0.01,53,8,45,0.638888888888889,646,137
VQuintanaL_2024,1,0.01,53,21,32,0.735119047619048,642,146
BelstromD_2017,1,0.01,20,10,10,0.77,647,140
BostanciN_2021,1,0.01,154,126,28,0.535430839002268,651,106
CuiJ_2019,1,0.01,128,40,88,0.682670454545455,646,113
LiYJ_2023,1,0.01,19,10,9,0.544444444444444,646,125
ZhuJY_2023,1,0.01,74,73,1,0.547945205479452,633,139
ZellerG_2014,1,0.01,54,21,33,0.587301587301587,641,143
