study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.2,18,6,12,0.597222222222222,101,51
ZhangDY_2015,0.1,0.2,122,47,75,0.510354609929078,89,52
BuschartA_2016,0.1,0.2,53,8,45,0.627777777777778,102,55
VQuintanaL_2024,0.1,0.2,53,21,32,0.723214285714286,103,50
BelstromD_2017,0.1,0.2,20,10,10,0.87,102,47
BostanciN_2021,0.1,0.2,154,126,28,0.522675736961451,110,68
CuiJ_2019,0.1,0.2,128,40,88,0.526420454545455,96,56
LiYJ_2023,0.1,0.2,19,10,9,0.777777777777778,101,52
ZhuJY_2023,0.1,0.2,74,73,1,0.808219178082192,95,48
ZellerG_2014,0.1,0.2,54,21,33,0.567099567099567,102,52
