study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.1,18,6,12,0.430555555555556,51,24
ZhangDY_2015,1,0.1,122,47,75,0.528794326241135,48,24
BuschartA_2016,1,0.1,53,8,45,0.447222222222222,52,24
VQuintanaL_2024,1,0.1,53,21,32,0.84375,51,20
BelstromD_2017,1,0.1,20,10,10,0.78,51,31
BostanciN_2021,1,0.1,154,126,28,0.57312925170068,52,28
CuiJ_2019,1,0.1,128,40,88,0.548295454545455,52,35
LiYJ_2023,1,0.1,19,10,9,0.433333333333333,51,28
ZhuJY_2023,1,0.1,74,73,1,0.506849315068493,49,21
ZellerG_2014,1,0.1,54,21,33,0.522366522366522,51,28
