study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.1,18,6,12,0.444444444444444,63,34
ZhangDY_2015,0.1,0.1,122,47,75,0.56113475177305,58,33
BuschartA_2016,0.1,0.1,53,8,45,0.536111111111111,64,34
VQuintanaL_2024,0.1,0.1,53,21,32,0.855654761904762,63,30
BelstromD_2017,0.1,0.1,20,10,10,0.8,63,35
BostanciN_2021,0.1,0.1,154,126,28,0.559807256235828,64,37
CuiJ_2019,0.1,0.1,128,40,88,0.569034090909091,64,51
LiYJ_2023,0.1,0.1,19,10,9,0.488888888888889,63,43
ZhuJY_2023,0.1,0.1,74,73,1,0.534246575342466,61,37
ZellerG_2014,0.1,0.1,54,21,33,0.541125541125541,63,41
