study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.2,18,6,12,0.555555555555556,43,17
ZhangDY_2015,0.5,0.2,122,47,75,0.542411347517731,39,16
BuschartA_2016,0.5,0.2,53,8,45,0.425,43,20
VQuintanaL_2024,0.5,0.2,53,21,32,0.84375,42,17
BelstromD_2017,0.5,0.2,20,10,10,0.71,43,19
BostanciN_2021,0.5,0.2,154,126,28,0.538832199546485,44,11
CuiJ_2019,0.5,0.2,128,40,88,0.561363636363636,42,21
LiYJ_2023,0.5,0.2,19,10,9,0.5,43,19
ZhuJY_2023,0.5,0.2,74,73,1,0.520547945205479,41,18
ZellerG_2014,0.5,0.2,54,21,33,0.507936507936508,43,22
