study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.569444444444445,86,33
ZhangDY_2015,0.5,0.01,122,47,75,0.529929078014185,86,38
BuschartA_2016,0.5,0.01,53,8,45,0.55,87,36
VQuintanaL_2024,0.5,0.01,53,21,32,0.849702380952381,87,28
BelstromD_2017,0.5,0.01,20,10,10,0.8,87,38
BostanciN_2021,0.5,0.01,154,126,28,0.543934240362812,87,30
CuiJ_2019,0.5,0.01,128,40,88,0.578693181818182,87,52
LiYJ_2023,0.5,0.01,19,10,9,0.611111111111111,87,44
ZhuJY_2023,0.5,0.01,74,73,1,0.561643835616438,86,39
ZellerG_2014,0.5,0.01,54,21,33,0.54978354978355,87,46
