study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.2,18,6,12,0.666666666666667,61,30
ZhangDY_2015,0.1,0.2,122,47,75,0.566241134751773,58,33
BuschartA_2016,0.1,0.2,53,8,45,0.508333333333333,61,28
VQuintanaL_2024,0.1,0.2,53,21,32,0.808035714285714,61,24
BelstromD_2017,0.1,0.2,20,10,10,0.87,61,30
BostanciN_2021,0.1,0.2,154,126,28,0.531462585034014,63,25
CuiJ_2019,0.1,0.2,128,40,88,0.597727272727273,61,30
LiYJ_2023,0.1,0.2,19,10,9,0.677777777777778,61,30
ZhuJY_2023,0.1,0.2,74,73,1,0.616438356164384,60,33
ZellerG_2014,0.1,0.2,54,21,33,0.567099567099567,61,37
