study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.638888888888889,644,201
ZhangDY_2015,0.1,0.01,122,47,75,0.582978723404255,621,203
BuschartA_2016,0.1,0.01,53,8,45,0.672222222222222,646,223
VQuintanaL_2024,0.1,0.01,53,21,32,0.791666666666667,642,220
BelstromD_2017,0.1,0.01,20,10,10,0.83,647,222
BostanciN_2021,0.1,0.01,154,126,28,0.519274376417234,651,231
CuiJ_2019,0.1,0.01,128,40,88,0.687215909090909,646,201
LiYJ_2023,0.1,0.01,19,10,9,0.755555555555556,646,239
ZhuJY_2023,0.1,0.01,74,73,1,0.684931506849315,633,268
ZellerG_2014,0.1,0.01,54,21,33,0.630591630591631,641,253
