study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.541666666666667,237,60
ZhangDY_2015,0.1,0.01,122,47,75,0.495886524822695,231,86
BuschartA_2016,0.1,0.01,53,8,45,0.533333333333333,239,84
VQuintanaL_2024,0.1,0.01,53,21,32,0.796130952380952,238,86
BelstromD_2017,0.1,0.01,20,10,10,0.84,239,77
BostanciN_2021,0.1,0.01,154,126,28,0.530328798185941,241,48
CuiJ_2019,0.1,0.01,128,40,88,0.632386363636364,239,83
LiYJ_2023,0.1,0.01,19,10,9,0.644444444444444,239,91
ZhuJY_2023,0.1,0.01,74,73,1,0.808219178082192,236,73
ZellerG_2014,0.1,0.01,54,21,33,0.660894660894661,239,83
