study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.1,18,6,12,0.430555555555556,63,31
ZhangDY_2015,0.5,0.1,122,47,75,0.571063829787234,58,30
BuschartA_2016,0.5,0.1,53,8,45,0.572222222222222,64,29
VQuintanaL_2024,0.5,0.1,53,21,32,0.857142857142857,63,23
BelstromD_2017,0.5,0.1,20,10,10,0.79,63,36
BostanciN_2021,0.5,0.1,154,126,28,0.557256235827664,64,30
CuiJ_2019,0.5,0.1,128,40,88,0.584943181818182,64,45
LiYJ_2023,0.5,0.1,19,10,9,0.6,63,41
ZhuJY_2023,0.5,0.1,74,73,1,0.506849315068493,61,30
ZellerG_2014,0.5,0.1,54,21,33,0.536796536796537,63,40
