study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.1,18,6,12,0.583333333333333,392,95
ZhangDY_2015,1,0.1,122,47,75,0.626382978723404,361,100
BuschartA_2016,1,0.1,53,8,45,0.652777777777778,395,109
VQuintanaL_2024,1,0.1,53,21,32,0.794642857142857,390,99
BelstromD_2017,1,0.1,20,10,10,0.74,392,99
BostanciN_2021,1,0.1,154,126,28,0.536281179138322,408,110
CuiJ_2019,1,0.1,128,40,88,0.663068181818182,390,90
LiYJ_2023,1,0.1,19,10,9,0.611111111111111,389,87
ZhuJY_2023,1,0.1,74,73,1,0.671232876712329,375,95
ZellerG_2014,1,0.1,54,21,33,0.632034632034632,393,82
