study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.05,0.458333333333333,72,34,18,6,12,0.333333333333333,0.916666666666667,0.625,,balanced_accuracy,0.625
ZhangDY_2015,0.1,0.05,0.551205673758865,65,39,122,47,75,0.170212765957447,0.773333333333333,0.47177304964539,,balanced_accuracy,0.47177304964539
ChenBY_2023,0.1,0.05,,68,38,56,0,56,,0.803571428571429,,0.803571428571429,single_class_accuracy,0.803571428571429
BuschartA_2016,0.1,0.05,0.541666666666667,73,33,53,8,45,0.125,0.8,0.4625,,balanced_accuracy,0.4625
VQuintanaL_2024,0.1,0.05,0.852678571428571,72,29,53,21,32,0.904761904761905,0.6875,0.796130952380952,,balanced_accuracy,0.796130952380952
ArmstrongA_2021,0.1,0.05,,72,34,13,13,0,0.153846153846154,,,0.153846153846154,single_class_accuracy,0.153846153846154
BelstromD_2017,0.1,0.05,0.79,72,36,20,10,10,0.2,1,0.6,,balanced_accuracy,0.6
BostanciN_2021,0.1,0.05,0.551587301587302,73,36,154,126,28,0,1,0.5,,balanced_accuracy,0.5
ChenLW_2022,0.1,0.05,,73,38,61,61,0,0.0655737704918033,,,0.0655737704918033,single_class_accuracy,0.0655737704918033
CuiJ_2019,0.1,0.05,0.567613636363636,72,47,128,40,88,0.275,0.795454545454545,0.535227272727273,,balanced_accuracy,0.535227272727273
JiangQ_2021,0.1,0.05,,68,40,21,0,21,,0.857142857142857,,0.857142857142857,single_class_accuracy,0.857142857142857
LiYJ_2023,0.1,0.05,0.5,68,40,19,10,9,0.2,1,0.6,,balanced_accuracy,0.6
preprint_CastilhosJ_2021,0.1,0.05,,73,44,224,0,224,,0.366071428571429,,0.366071428571429,single_class_accuracy,0.366071428571429
ShaiberA_2020,0.1,0.05,,72,42,35,35,0,0.142857142857143,,,0.142857142857143,single_class_accuracy,0.142857142857143
ZhuJY_2023,0.1,0.05,0.602739726027397,72,43,74,73,1,0.0958904109589041,1,0.547945205479452,,balanced_accuracy,0.547945205479452
ZellerG_2014,0.1,0.05,0.54978354978355,72,35,54,21,33,0.0952380952380952,0.727272727272727,0.411255411255411,,balanced_accuracy,0.411255411255411
