study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.05,18,6,12,0.569444444444445,482,172
ZhangDY_2015,0.1,0.05,122,47,75,0.623829787234043,447,142
BuschartA_2016,0.1,0.05,53,8,45,0.686111111111111,483,177
VQuintanaL_2024,0.1,0.05,53,21,32,0.825892857142857,482,198
BelstromD_2017,0.1,0.05,20,10,10,0.74,483,165
BostanciN_2021,0.1,0.05,154,126,28,0.471655328798186,496,196
CuiJ_2019,0.1,0.05,128,40,88,0.674715909090909,479,156
LiYJ_2023,0.1,0.05,19,10,9,0.733333333333333,476,199
ZhuJY_2023,0.1,0.05,74,73,1,0.520547945205479,474,211
ZellerG_2014,0.1,0.05,54,21,33,0.665223665223665,484,176
