study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.1,18,6,12,0.638888888888889,75,36
ZhangDY_2015,0.1,0.1,122,47,75,0.572482269503546,70,38
BuschartA_2016,0.1,0.1,53,8,45,0.488888888888889,76,38
VQuintanaL_2024,0.1,0.1,53,21,32,0.87202380952381,75,33
BelstromD_2017,0.1,0.1,20,10,10,0.85,75,39
BostanciN_2021,0.1,0.1,154,126,28,0.531179138321996,76,36
CuiJ_2019,0.1,0.1,128,40,88,0.621306818181818,76,47
LiYJ_2023,0.1,0.1,19,10,9,0.622222222222222,75,40
ZhuJY_2023,0.1,0.1,74,73,1,0.547945205479452,72,41
ZellerG_2014,0.1,0.1,54,21,33,0.532467532467532,75,43
