study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.1,0.569444444444445,63,32,18,6,12,0.333333333333333,0.75,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,1,0.1,0.572482269503546,58,31,122,47,75,0.25531914893617,0.72,0.487659574468085,,balanced_accuracy,0.487659574468085
ChenBY_2023,1,0.1,,61,32,56,0,56,,0.642857142857143,,0.642857142857143,single_class_accuracy,0.642857142857143
BuschartA_2016,1,0.1,0.583333333333333,64,28,53,8,45,0.25,0.8,0.525,,balanced_accuracy,0.525
VQuintanaL_2024,1,0.1,0.857142857142857,63,22,53,21,32,1,0.5625,0.78125,,balanced_accuracy,0.78125
ArmstrongA_2021,1,0.1,,63,34,13,13,0,0.307692307692308,,,0.307692307692308,single_class_accuracy,0.307692307692308
BelstromD_2017,1,0.1,0.78,63,35,20,10,10,0.2,0.9,0.55,,balanced_accuracy,0.55
BostanciN_2021,1,0.1,0.5609410430839,64,28,154,126,28,0.0555555555555556,0.928571428571429,0.492063492063492,,balanced_accuracy,0.492063492063492
ChenLW_2022,1,0.1,,64,34,61,61,0,0.213114754098361,,,0.213114754098361,single_class_accuracy,0.213114754098361
CuiJ_2019,1,0.1,0.587784090909091,64,46,128,40,88,0.325,0.75,0.5375,,balanced_accuracy,0.5375
JiangQ_2021,1,0.1,,63,37,21,0,21,,0.761904761904762,,0.761904761904762,single_class_accuracy,0.761904761904762
LiYJ_2023,1,0.1,0.6,63,42,19,10,9,0.2,0.888888888888889,0.544444444444444,,balanced_accuracy,0.544444444444444
preprint_CastilhosJ_2021,1,0.1,,64,35,224,0,224,,0.383928571428571,,0.383928571428571,single_class_accuracy,0.383928571428571
ShaiberA_2020,1,0.1,,64,36,35,35,0,0.114285714285714,,,0.114285714285714,single_class_accuracy,0.114285714285714
ZhuJY_2023,1,0.1,0.506849315068493,61,29,74,73,1,0.178082191780822,1,0.589041095890411,,balanced_accuracy,0.589041095890411
ZellerG_2014,1,0.1,0.531024531024531,63,39,54,21,33,0.142857142857143,0.666666666666667,0.404761904761905,,balanced_accuracy,0.404761904761905
