study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.3,18,6,12,0.527777777777778,191,52
ZhangDY_2015,1,0.3,122,47,75,0.586950354609929,160,46
BuschartA_2016,1,0.3,53,8,45,0.580555555555556,191,45
VQuintanaL_2024,1,0.3,53,21,32,0.742559523809524,186,68
BelstromD_2017,1,0.3,20,10,10,0.74,187,50
BostanciN_2021,1,0.3,154,126,28,0.521258503401361,220,108
CuiJ_2019,1,0.3,128,40,88,0.655965909090909,175,57
LiYJ_2023,1,0.3,19,10,9,0.666666666666667,186,50
ZhuJY_2023,1,0.3,74,73,1,0.986301369863014,166,62
ZellerG_2014,1,0.3,54,21,33,0.643578643578644,189,64
