study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.2,0.569444444444445,263,65,18,6,12,0.333333333333333,0.666666666666667,0.5,,balanced_accuracy,0.5
ZhangDY_2015,1,0.2,0.653617021276596,231,56,122,47,75,0.340425531914894,0.786666666666667,0.56354609929078,,balanced_accuracy,0.56354609929078
ChenBY_2023,1,0.2,,255,83,56,0,56,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
BuschartA_2016,1,0.2,0.594444444444445,268,53,53,8,45,0.5,0.422222222222222,0.461111111111111,,balanced_accuracy,0.461111111111111
VQuintanaL_2024,1,0.2,0.75,261,50,53,21,32,0.333333333333333,0.875,0.604166666666667,,balanced_accuracy,0.604166666666667
ArmstrongA_2021,1,0.2,,262,60,13,13,0,0.153846153846154,,,0.153846153846154,single_class_accuracy,0.153846153846154
BelstromD_2017,1,0.2,0.72,266,74,20,10,10,0.8,0.4,0.6,,balanced_accuracy,0.6
BostanciN_2021,1,0.2,0.509353741496599,287,89,154,126,28,0.253968253968254,0.678571428571429,0.466269841269841,,balanced_accuracy,0.466269841269841
ChenLW_2022,1,0.2,,277,76,61,61,0,0.327868852459016,,,0.327868852459016,single_class_accuracy,0.327868852459016
CuiJ_2019,1,0.2,0.61875,247,55,128,40,88,0.075,0.886363636363636,0.480681818181818,,balanced_accuracy,0.480681818181818
JiangQ_2021,1,0.2,,258,68,21,0,21,,0.333333333333333,,0.333333333333333,single_class_accuracy,0.333333333333333
LiYJ_2023,1,0.2,0.555555555555556,260,80,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,1,0.2,,292,82,224,0,224,,0.464285714285714,,0.464285714285714,single_class_accuracy,0.464285714285714
ShaiberA_2020,1,0.2,,268,66,35,35,0,0.4,,,0.4,single_class_accuracy,0.4
ZhuJY_2023,1,0.2,0.904109589041096,241,81,74,73,1,0.493150684931507,1,0.746575342465753,,balanced_accuracy,0.746575342465753
ZellerG_2014,1,0.2,0.632034632034632,264,64,54,21,33,0.476190476190476,0.666666666666667,0.571428571428571,,balanced_accuracy,0.571428571428571
