study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.1,18,6,12,0.569444444444445,152,53
ZhangDY_2015,0.1,0.1,122,47,75,0.599148936170213,135,62
BuschartA_2016,0.1,0.1,53,8,45,0.513888888888889,154,63
VQuintanaL_2024,0.1,0.1,53,21,32,0.772321428571429,151,59
BelstromD_2017,0.1,0.1,20,10,10,0.82,152,52
BostanciN_2021,0.1,0.1,154,126,28,0.523809523809524,157,50
CuiJ_2019,0.1,0.1,128,40,88,0.621875,152,69
LiYJ_2023,0.1,0.1,19,10,9,0.633333333333333,151,76
ZhuJY_2023,0.1,0.1,74,73,1,0.863013698630137,143,54
ZellerG_2014,0.1,0.1,54,21,33,0.707070707070707,152,58
