study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.1,0.666666666666667,75,27,18,6,12,0.166666666666667,0.75,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,0.5,0.1,0.566524822695036,70,31,122,47,75,0.212765957446809,0.853333333333333,0.533049645390071,,balanced_accuracy,0.533049645390071
ChenBY_2023,0.5,0.1,,73,30,56,0,56,,0.660714285714286,,0.660714285714286,single_class_accuracy,0.660714285714286
BuschartA_2016,0.5,0.1,0.519444444444445,76,31,53,8,45,0.25,0.755555555555556,0.502777777777778,,balanced_accuracy,0.502777777777778
VQuintanaL_2024,0.5,0.1,0.825892857142857,75,23,53,21,32,0.952380952380952,0.59375,0.773065476190476,,balanced_accuracy,0.773065476190476
ArmstrongA_2021,0.5,0.1,,75,33,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,0.5,0.1,0.82,75,33,20,10,10,0.8,0.8,0.8,,balanced_accuracy,0.8
BostanciN_2021,0.5,0.1,0.52749433106576,76,26,154,126,28,0.0476190476190476,0.964285714285714,0.505952380952381,,balanced_accuracy,0.505952380952381
ChenLW_2022,0.5,0.1,,76,34,61,61,0,0.295081967213115,,,0.295081967213115,single_class_accuracy,0.295081967213115
CuiJ_2019,0.5,0.1,0.637784090909091,76,45,128,40,88,0.225,0.897727272727273,0.561363636363636,,balanced_accuracy,0.561363636363636
JiangQ_2021,0.5,0.1,,75,37,21,0,21,,0.714285714285714,,0.714285714285714,single_class_accuracy,0.714285714285714
LiYJ_2023,0.5,0.1,0.577777777777778,75,32,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,0.5,0.1,,76,43,224,0,224,,0.388392857142857,,0.388392857142857,single_class_accuracy,0.388392857142857
ShaiberA_2020,0.5,0.1,,76,31,35,35,0,0.485714285714286,,,0.485714285714286,single_class_accuracy,0.485714285714286
ZhuJY_2023,0.5,0.1,0.520547945205479,72,30,74,73,1,0.178082191780822,1,0.589041095890411,,balanced_accuracy,0.589041095890411
ZellerG_2014,0.5,0.1,0.523809523809524,75,36,54,21,33,0.142857142857143,0.757575757575758,0.45021645021645,,balanced_accuracy,0.45021645021645
