study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.597222222222222,609,186
ZhangDY_2015,0.1,0.01,122,47,75,0.596312056737589,589,144
BuschartA_2016,0.1,0.01,53,8,45,0.694444444444445,611,198
VQuintanaL_2024,0.1,0.01,53,21,32,0.811011904761905,608,187
BelstromD_2017,0.1,0.01,20,10,10,0.73,612,197
BostanciN_2021,0.1,0.01,154,126,28,0.530612244897959,617,208
CuiJ_2019,0.1,0.01,128,40,88,0.675,612,176
LiYJ_2023,0.1,0.01,19,10,9,0.755555555555556,611,207
ZhuJY_2023,0.1,0.01,74,73,1,0.547945205479452,598,239
ZellerG_2014,0.1,0.01,54,21,33,0.653679653679654,607,192
