study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.2,18,6,12,0.5,43,21
ZhangDY_2015,0.1,0.2,122,47,75,0.535602836879433,39,20
BuschartA_2016,0.1,0.2,53,8,45,0.616666666666667,43,22
VQuintanaL_2024,0.1,0.2,53,21,32,0.834821428571429,42,20
BelstromD_2017,0.1,0.2,20,10,10,0.79,43,21
BostanciN_2021,0.1,0.2,154,126,28,0.53968253968254,44,18
CuiJ_2019,0.1,0.2,128,40,88,0.559375,42,24
LiYJ_2023,0.1,0.2,19,10,9,0.588888888888889,43,23
ZhuJY_2023,0.1,0.2,74,73,1,0.534246575342466,41,22
ZellerG_2014,0.1,0.2,54,21,33,0.525252525252525,43,27
