study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.05,0.625,509,172,18,6,12,0.166666666666667,0.666666666666667,0.416666666666667,,balanced_accuracy,0.416666666666667
ZhangDY_2015,1,0.05,0.596312056737589,474,129,122,47,75,0.319148936170213,0.8,0.559574468085106,,balanced_accuracy,0.559574468085106
ChenBY_2023,1,0.05,,498,146,56,0,56,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
BuschartA_2016,1,0.05,0.652777777777778,509,127,53,8,45,0.375,0.444444444444444,0.409722222222222,,balanced_accuracy,0.409722222222222
VQuintanaL_2024,1,0.05,0.763392857142857,509,153,53,21,32,0.285714285714286,1,0.642857142857143,,balanced_accuracy,0.642857142857143
ArmstrongA_2021,1,0.05,,509,166,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,1,0.05,0.74,510,168,20,10,10,0.7,0.7,0.7,,balanced_accuracy,0.7
BostanciN_2021,1,0.05,0.476473922902494,525,111,154,126,28,0.285714285714286,0.785714285714286,0.535714285714286,,balanced_accuracy,0.535714285714286
ChenLW_2022,1,0.05,,514,131,61,61,0,0.245901639344262,,,0.245901639344262,single_class_accuracy,0.245901639344262
CuiJ_2019,1,0.05,0.686079545454545,507,141,128,40,88,0.075,0.954545454545455,0.514772727272727,,balanced_accuracy,0.514772727272727
JiangQ_2021,1,0.05,,502,176,21,0,21,,0.666666666666667,,0.666666666666667,single_class_accuracy,0.666666666666667
LiYJ_2023,1,0.05,0.544444444444444,503,149,19,10,9,0.4,0.666666666666667,0.533333333333333,,balanced_accuracy,0.533333333333333
preprint_CastilhosJ_2021,1,0.05,,523,80,224,0,224,,0.40625,,0.40625,single_class_accuracy,0.40625
ShaiberA_2020,1,0.05,,510,165,35,35,0,0.228571428571429,,,0.228571428571429,single_class_accuracy,0.228571428571429
ZhuJY_2023,1,0.05,0.534246575342466,501,155,74,73,1,0.589041095890411,0,0.294520547945206,,balanced_accuracy,0.294520547945206
ZellerG_2014,1,0.05,0.604617604617605,511,122,54,21,33,0.428571428571429,0.696969696969697,0.562770562770563,,balanced_accuracy,0.562770562770563
