study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.597222222222222,189,36
ZhangDY_2015,1,0.05,122,47,75,0.605390070921986,171,52
BuschartA_2016,1,0.05,53,8,45,0.558333333333333,190,52
VQuintanaL_2024,1,0.05,53,21,32,0.776785714285714,187,57
BelstromD_2017,1,0.05,20,10,10,0.85,189,46
BostanciN_2021,1,0.05,154,126,28,0.520408163265306,191,26
CuiJ_2019,1,0.05,128,40,88,0.643181818181818,188,51
LiYJ_2023,1,0.05,19,10,9,0.666666666666667,184,63
ZhuJY_2023,1,0.05,74,73,1,0.794520547945206,186,33
ZellerG_2014,1,0.05,54,21,33,0.665223665223665,189,57
