study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.01,0.569444444444445,86,33,18,6,12,0.333333333333333,0.75,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,0.5,0.01,0.529929078014185,86,38,122,47,75,0.297872340425532,0.706666666666667,0.502269503546099,,balanced_accuracy,0.502269503546099
ChenBY_2023,0.5,0.01,,87,29,56,0,56,,0.732142857142857,,0.732142857142857,single_class_accuracy,0.732142857142857
BuschartA_2016,0.5,0.01,0.55,87,36,53,8,45,0.25,0.8,0.525,,balanced_accuracy,0.525
VQuintanaL_2024,0.5,0.01,0.849702380952381,87,28,53,21,32,1,0.625,0.8125,,balanced_accuracy,0.8125
ArmstrongA_2021,0.5,0.01,,87,39,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,0.5,0.01,0.8,87,38,20,10,10,0.2,0.9,0.55,,balanced_accuracy,0.55
BostanciN_2021,0.5,0.01,0.543934240362812,87,30,154,126,28,0.0238095238095238,0.964285714285714,0.494047619047619,,balanced_accuracy,0.494047619047619
ChenLW_2022,0.5,0.01,,87,38,61,61,0,0.0819672131147541,,,0.0819672131147541,single_class_accuracy,0.0819672131147541
CuiJ_2019,0.5,0.01,0.578693181818182,87,52,128,40,88,0.3,0.772727272727273,0.536363636363636,,balanced_accuracy,0.536363636363636
JiangQ_2021,0.5,0.01,,87,42,21,0,21,,0.80952380952381,,0.80952380952381,single_class_accuracy,0.80952380952381
LiYJ_2023,0.5,0.01,0.611111111111111,87,44,19,10,9,0.2,1,0.6,,balanced_accuracy,0.6
preprint_CastilhosJ_2021,0.5,0.01,,85,35,224,0,224,,0.375,,0.375,single_class_accuracy,0.375
ShaiberA_2020,0.5,0.01,,87,41,35,35,0,0.114285714285714,,,0.114285714285714,single_class_accuracy,0.114285714285714
ZhuJY_2023,0.5,0.01,0.561643835616438,86,39,74,73,1,0.150684931506849,1,0.575342465753425,,balanced_accuracy,0.575342465753425
ZellerG_2014,0.5,0.01,0.54978354978355,87,46,54,21,33,0.142857142857143,0.666666666666667,0.404761904761905,,balanced_accuracy,0.404761904761905
