study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.05,18,6,12,0.652777777777778,86,24
ZhangDY_2015,0.5,0.05,122,47,75,0.568794326241135,77,31
BuschartA_2016,0.5,0.05,53,8,45,0.525,88,31
VQuintanaL_2024,0.5,0.05,53,21,32,0.827380952380952,87,24
BelstromD_2017,0.5,0.05,20,10,10,0.83,87,35
BostanciN_2021,0.5,0.05,154,126,28,0.52749433106576,88,26
CuiJ_2019,0.5,0.05,128,40,88,0.635795454545455,87,43
LiYJ_2023,0.5,0.05,19,10,9,0.588888888888889,83,35
ZhuJY_2023,0.5,0.05,74,73,1,0.561643835616438,87,41
ZellerG_2014,0.5,0.05,54,21,33,0.523809523809524,87,34
