study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.2,0.597222222222222,101,36,18,6,12,0.166666666666667,0.666666666666667,0.416666666666667,,balanced_accuracy,0.416666666666667
ZhangDY_2015,1,0.2,0.510070921985816,89,34,122,47,75,0.319148936170213,0.613333333333333,0.466241134751773,,balanced_accuracy,0.466241134751773
ChenBY_2023,1,0.2,,96,27,56,0,56,,0.732142857142857,,0.732142857142857,single_class_accuracy,0.732142857142857
BuschartA_2016,1,0.2,0.577777777777778,102,34,53,8,45,0.25,0.688888888888889,0.469444444444445,,balanced_accuracy,0.469444444444445
VQuintanaL_2024,1,0.2,0.764880952380952,103,35,53,21,32,0.619047619047619,0.6875,0.65327380952381,,balanced_accuracy,0.65327380952381
ArmstrongA_2021,1,0.2,,101,25,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,1,0.2,0.82,102,30,20,10,10,0.7,0.7,0.7,,balanced_accuracy,0.7
BostanciN_2021,1,0.2,0.517857142857143,110,28,154,126,28,0.0952380952380952,0.785714285714286,0.440476190476191,,balanced_accuracy,0.440476190476191
ChenLW_2022,1,0.2,,104,46,61,61,0,0.229508196721311,,,0.229508196721311,single_class_accuracy,0.229508196721311
CuiJ_2019,1,0.2,0.513920454545455,96,41,128,40,88,0.15,0.738636363636364,0.444318181818182,,balanced_accuracy,0.444318181818182
JiangQ_2021,1,0.2,,101,32,21,0,21,,0.666666666666667,,0.666666666666667,single_class_accuracy,0.666666666666667
LiYJ_2023,1,0.2,0.733333333333333,101,36,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,1,0.2,,110,24,224,0,224,,0.410714285714286,,0.410714285714286,single_class_accuracy,0.410714285714286
ShaiberA_2020,1,0.2,,102,35,35,35,0,0.371428571428571,,,0.371428571428571,single_class_accuracy,0.371428571428571
ZhuJY_2023,1,0.2,0.726027397260274,95,26,74,73,1,0.10958904109589,1,0.554794520547945,,balanced_accuracy,0.554794520547945
ZellerG_2014,1,0.2,0.564213564213564,102,29,54,21,33,0.142857142857143,0.787878787878788,0.465367965367965,,balanced_accuracy,0.465367965367965
