study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.05,18,6,12,0.611111111111111,482,124
ZhangDY_2015,0.5,0.05,122,47,75,0.61531914893617,447,116
BuschartA_2016,0.5,0.05,53,8,45,0.677777777777778,483,121
VQuintanaL_2024,0.5,0.05,53,21,32,0.776785714285714,482,124
BelstromD_2017,0.5,0.05,20,10,10,0.64,483,121
BostanciN_2021,0.5,0.05,154,126,28,0.534580498866213,496,110
CuiJ_2019,0.5,0.05,128,40,88,0.680113636363636,479,116
LiYJ_2023,0.5,0.05,19,10,9,0.588888888888889,476,123
ZhuJY_2023,0.5,0.05,74,73,1,0.534246575342466,474,121
ZellerG_2014,0.5,0.05,54,21,33,0.362193362193362,484,109
