study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.01,18,6,12,0.597222222222222,103,26
ZhangDY_2015,1,0.01,122,47,75,0.560283687943262,102,32
BuschartA_2016,1,0.01,53,8,45,0.533333333333333,103,32
VQuintanaL_2024,1,0.01,53,21,32,0.8125,104,24
BelstromD_2017,1,0.01,20,10,10,0.83,104,37
BostanciN_2021,1,0.01,154,126,28,0.52749433106576,105,31
CuiJ_2019,1,0.01,128,40,88,0.640909090909091,104,46
LiYJ_2023,1,0.01,19,10,9,0.588888888888889,104,35
ZhuJY_2023,1,0.01,74,73,1,0.602739726027397,104,37
ZellerG_2014,1,0.01,54,21,33,0.532467532467532,104,36
