study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.2,18,6,12,0.611111111111111,279,73
ZhangDY_2015,0.5,0.2,122,47,75,0.622978723404255,246,57
BuschartA_2016,0.5,0.2,53,8,45,0.6,284,82
VQuintanaL_2024,0.5,0.2,53,21,32,0.754464285714286,278,69
BelstromD_2017,0.5,0.2,20,10,10,0.85,282,89
BostanciN_2021,0.5,0.2,154,126,28,0.522675736961451,304,108
CuiJ_2019,0.5,0.2,128,40,88,0.628409090909091,263,73
LiYJ_2023,0.5,0.2,19,10,9,0.455555555555556,276,87
ZhuJY_2023,0.5,0.2,74,73,1,0.931506849315068,257,97
ZellerG_2014,0.5,0.2,54,21,33,0.626262626262626,280,79
