study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.2,0.666666666666667,61,30,18,6,12,0.166666666666667,0.916666666666667,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,0.1,0.2,0.566241134751773,58,33,122,47,75,0.170212765957447,0.826666666666667,0.498439716312057,,balanced_accuracy,0.498439716312057
ChenBY_2023,0.1,0.2,,60,26,56,0,56,,0.928571428571429,,0.928571428571429,single_class_accuracy,0.928571428571429
BuschartA_2016,0.1,0.2,0.508333333333333,61,28,53,8,45,0.25,0.711111111111111,0.480555555555556,,balanced_accuracy,0.480555555555556
VQuintanaL_2024,0.1,0.2,0.808035714285714,61,24,53,21,32,0.714285714285714,0.78125,0.747767857142857,,balanced_accuracy,0.747767857142857
ArmstrongA_2021,0.1,0.2,,61,29,13,13,0,0.153846153846154,,,0.153846153846154,single_class_accuracy,0.153846153846154
BelstromD_2017,0.1,0.2,0.87,61,30,20,10,10,0.6,0.8,0.7,,balanced_accuracy,0.7
BostanciN_2021,0.1,0.2,0.531462585034014,63,25,154,126,28,0.00793650793650794,1,0.503968253968254,,balanced_accuracy,0.503968253968254
ChenLW_2022,0.1,0.2,,61,34,61,61,0,0.262295081967213,,,0.262295081967213,single_class_accuracy,0.262295081967213
CuiJ_2019,0.1,0.2,0.597727272727273,61,30,128,40,88,0.225,0.829545454545455,0.527272727272727,,balanced_accuracy,0.527272727272727
JiangQ_2021,0.1,0.2,,61,31,21,0,21,,0.904761904761905,,0.904761904761905,single_class_accuracy,0.904761904761905
LiYJ_2023,0.1,0.2,0.677777777777778,61,30,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,0.1,0.2,,61,36,224,0,224,,0.370535714285714,,0.370535714285714,single_class_accuracy,0.370535714285714
ShaiberA_2020,0.1,0.2,,61,32,35,35,0,0.285714285714286,,,0.285714285714286,single_class_accuracy,0.285714285714286
ZhuJY_2023,0.1,0.2,0.616438356164384,60,33,74,73,1,0.0684931506849315,1,0.534246575342466,,balanced_accuracy,0.534246575342466
ZellerG_2014,0.1,0.2,0.567099567099567,61,37,54,21,33,0.142857142857143,0.818181818181818,0.480519480519481,,balanced_accuracy,0.480519480519481
