study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.3,18,6,12,0.652777777777778,52,15
ZhangDY_2015,1,0.3,122,47,75,0.538439716312057,47,15
BuschartA_2016,1,0.3,53,8,45,0.525,53,16
VQuintanaL_2024,1,0.3,53,21,32,0.779761904761905,53,12
BelstromD_2017,1,0.3,20,10,10,0.76,52,15
BostanciN_2021,1,0.3,154,126,28,0.58390022675737,55,14
CuiJ_2019,1,0.3,128,40,88,0.620454545454546,48,13
LiYJ_2023,1,0.3,19,10,9,0.633333333333333,52,15
ZhuJY_2023,1,0.3,74,73,1,0.602739726027397,49,10
ZellerG_2014,1,0.3,54,21,33,0.575757575757576,52,17
