study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.05,0.5,12,5,18,6,12,0.333333333333333,0.75,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,0.5,0.05,0.539574468085106,11,5,122,47,75,0.191489361702128,0.8,0.495744680851064,,balanced_accuracy,0.495744680851064
ChenBY_2023,0.5,0.05,,12,4,56,0,56,,0.946428571428571,,0.946428571428571,single_class_accuracy,0.946428571428571
BuschartA_2016,0.5,0.05,0.472222222222222,12,4,53,8,45,0.125,0.666666666666667,0.395833333333333,,balanced_accuracy,0.395833333333333
VQuintanaL_2024,0.5,0.05,0.663690476190476,12,4,53,21,32,0.238095238095238,0.90625,0.572172619047619,,balanced_accuracy,0.572172619047619
ArmstrongA_2021,0.5,0.05,,12,4,13,13,0,0,,,0,single_class_accuracy,0
BelstromD_2017,0.5,0.05,0.71,12,5,20,10,10,0,0.9,0.45,,balanced_accuracy,0.45
BostanciN_2021,0.5,0.05,0.589852607709751,12,7,154,126,28,0,1,0.5,,balanced_accuracy,0.5
ChenLW_2022,0.5,0.05,,12,7,61,61,0,0.0983606557377049,,,0.0983606557377049,single_class_accuracy,0.0983606557377049
CuiJ_2019,0.5,0.05,0.577840909090909,12,5,128,40,88,0.15,0.886363636363636,0.518181818181818,,balanced_accuracy,0.518181818181818
JiangQ_2021,0.5,0.05,,12,5,21,0,21,,1,,1,single_class_accuracy,1
LiYJ_2023,0.5,0.05,0.811111111111111,12,1,19,10,9,0,1,0.5,,balanced_accuracy,0.5
preprint_CastilhosJ_2021,0.5,0.05,,12,3,224,0,224,,0.236607142857143,,0.236607142857143,single_class_accuracy,0.236607142857143
ShaiberA_2020,0.5,0.05,,12,5,35,35,0,0.0285714285714286,,,0.0285714285714286,single_class_accuracy,0.0285714285714286
ZhuJY_2023,0.5,0.05,0.602739726027397,12,4,74,73,1,0,1,0.5,,balanced_accuracy,0.5
ZellerG_2014,0.5,0.05,0.619047619047619,12,3,54,21,33,0.0952380952380952,0.909090909090909,0.502164502164502,,balanced_accuracy,0.502164502164502
