study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.2,18,6,12,0.541666666666667,43,17
ZhangDY_2015,1,0.2,122,47,75,0.544397163120567,39,16
BuschartA_2016,1,0.2,53,8,45,0.444444444444444,43,18
VQuintanaL_2024,1,0.2,53,21,32,0.84077380952381,42,17
BelstromD_2017,1,0.2,20,10,10,0.71,43,18
BostanciN_2021,1,0.2,154,126,28,0.539399092970522,44,10
CuiJ_2019,1,0.2,128,40,88,0.565056818181818,42,20
LiYJ_2023,1,0.2,19,10,9,0.511111111111111,43,19
ZhuJY_2023,1,0.2,74,73,1,0.534246575342466,41,16
ZellerG_2014,1,0.2,54,21,33,0.507936507936508,43,21
