study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.3,18,6,12,0.541666666666667,191,86
ZhangDY_2015,0.1,0.3,122,47,75,0.590921985815603,160,65
BuschartA_2016,0.1,0.3,53,8,45,0.563888888888889,191,75
VQuintanaL_2024,0.1,0.3,53,21,32,0.738095238095238,186,97
BelstromD_2017,0.1,0.3,20,10,10,0.79,187,91
BostanciN_2021,0.1,0.3,154,126,28,0.488378684807256,220,130
CuiJ_2019,0.1,0.3,128,40,88,0.658522727272727,175,88
LiYJ_2023,0.1,0.3,19,10,9,0.755555555555556,186,79
ZhuJY_2023,0.1,0.3,74,73,1,0.986301369863014,166,88
ZellerG_2014,0.1,0.3,54,21,33,0.673881673881674,189,94
