study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.3,18,6,12,0.541666666666667,191,57
ZhangDY_2015,0.5,0.3,122,47,75,0.584964539007092,160,47
BuschartA_2016,0.5,0.3,53,8,45,0.580555555555556,191,56
VQuintanaL_2024,0.5,0.3,53,21,32,0.748511904761905,186,72
BelstromD_2017,0.5,0.3,20,10,10,0.76,187,57
BostanciN_2021,0.5,0.3,154,126,28,0.517290249433107,220,113
CuiJ_2019,0.5,0.3,128,40,88,0.661647727272727,175,59
LiYJ_2023,0.5,0.3,19,10,9,0.688888888888889,186,58
ZhuJY_2023,0.5,0.3,74,73,1,0.986301369863014,166,70
ZellerG_2014,0.5,0.3,54,21,33,0.647907647907648,189,74
