study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.3,0.472222222222222,11,6,18,6,12,0.333333333333333,0.75,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,1,0.3,0.569078014184397,9,4,122,47,75,0.170212765957447,0.813333333333333,0.49177304964539,,balanced_accuracy,0.49177304964539
ChenBY_2023,1,0.3,,10,1,56,0,56,,1,,1,single_class_accuracy,1
BuschartA_2016,1,0.3,0.466666666666667,11,4,53,8,45,0.25,0.6,0.425,,balanced_accuracy,0.425
VQuintanaL_2024,1,0.3,0.697916666666667,11,3,53,21,32,0.523809523809524,0.65625,0.590029761904762,,balanced_accuracy,0.590029761904762
ArmstrongA_2021,1,0.3,,11,4,13,13,0,0,,,0,single_class_accuracy,0
BelstromD_2017,1,0.3,0.71,11,5,20,10,10,0,0.9,0.45,,balanced_accuracy,0.45
BostanciN_2021,1,0.3,0.59750566893424,11,7,154,126,28,0.00793650793650794,1,0.503968253968254,,balanced_accuracy,0.503968253968254
ChenLW_2022,1,0.3,,11,7,61,61,0,0.131147540983607,,,0.131147540983607,single_class_accuracy,0.131147540983607
CuiJ_2019,1,0.3,0.568465909090909,10,4,128,40,88,0.15,0.852272727272727,0.501136363636364,,balanced_accuracy,0.501136363636364
JiangQ_2021,1,0.3,,11,5,21,0,21,,1,,1,single_class_accuracy,1
LiYJ_2023,1,0.3,0.833333333333333,11,3,19,10,9,0,1,0.5,,balanced_accuracy,0.5
preprint_CastilhosJ_2021,1,0.3,,11,3,224,0,224,,0.357142857142857,,0.357142857142857,single_class_accuracy,0.357142857142857
ShaiberA_2020,1,0.3,,11,6,35,35,0,0.2,,,0.2,single_class_accuracy,0.2
ZhuJY_2023,1,0.3,0.616438356164384,9,3,74,73,1,0,1,0.5,,balanced_accuracy,0.5
ZellerG_2014,1,0.3,0.623376623376623,11,3,54,21,33,0.238095238095238,0.727272727272727,0.482683982683983,,balanced_accuracy,0.482683982683983
