study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.05,0.652777777777778,86,24,18,6,12,0.166666666666667,0.75,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,0.5,0.05,0.568794326241135,77,31,122,47,75,0.25531914893617,0.826666666666667,0.540992907801418,,balanced_accuracy,0.540992907801418
ChenBY_2023,0.5,0.05,,83,31,56,0,56,,0.660714285714286,,0.660714285714286,single_class_accuracy,0.660714285714286
BuschartA_2016,0.5,0.05,0.525,88,31,53,8,45,0.25,0.755555555555556,0.502777777777778,,balanced_accuracy,0.502777777777778
VQuintanaL_2024,0.5,0.05,0.827380952380952,87,24,53,21,32,0.952380952380952,0.59375,0.773065476190476,,balanced_accuracy,0.773065476190476
ArmstrongA_2021,0.5,0.05,,87,35,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,0.5,0.05,0.83,87,35,20,10,10,0.8,0.8,0.8,,balanced_accuracy,0.8
BostanciN_2021,0.5,0.05,0.52749433106576,88,26,154,126,28,0.0396825396825397,0.964285714285714,0.501984126984127,,balanced_accuracy,0.501984126984127
ChenLW_2022,0.5,0.05,,88,37,61,61,0,0.295081967213115,,,0.295081967213115,single_class_accuracy,0.295081967213115
CuiJ_2019,0.5,0.05,0.635795454545455,87,43,128,40,88,0.2,0.897727272727273,0.548863636363636,,balanced_accuracy,0.548863636363636
JiangQ_2021,0.5,0.05,,83,42,21,0,21,,0.714285714285714,,0.714285714285714,single_class_accuracy,0.714285714285714
LiYJ_2023,0.5,0.05,0.588888888888889,83,35,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,0.5,0.05,,88,35,224,0,224,,0.352678571428571,,0.352678571428571,single_class_accuracy,0.352678571428571
ShaiberA_2020,0.5,0.05,,87,33,35,35,0,0.457142857142857,,,0.457142857142857,single_class_accuracy,0.457142857142857
ZhuJY_2023,0.5,0.05,0.561643835616438,87,41,74,73,1,0.246575342465753,1,0.623287671232877,,balanced_accuracy,0.623287671232877
ZellerG_2014,0.5,0.05,0.523809523809524,87,34,54,21,33,0.142857142857143,0.757575757575758,0.45021645021645,,balanced_accuracy,0.45021645021645
