study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.486111111111111,59,22
ZhangDY_2015,1,0.05,122,47,75,0.477730496453901,53,22
BuschartA_2016,1,0.05,53,8,45,0.455555555555556,60,23
VQuintanaL_2024,1,0.05,53,21,32,0.831845238095238,59,20
BelstromD_2017,1,0.05,20,10,10,0.78,59,24
BostanciN_2021,1,0.05,154,126,28,0.553571428571429,60,25
CuiJ_2019,1,0.05,128,40,88,0.542613636363636,59,39
LiYJ_2023,1,0.05,19,10,9,0.444444444444444,55,24
ZhuJY_2023,1,0.05,74,73,1,0.63013698630137,59,21
ZellerG_2014,1,0.05,54,21,33,0.54978354978355,59,23
