study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.01,0.513888888888889,14,8,18,6,12,0.166666666666667,0.916666666666667,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,0.1,0.01,0.563404255319149,14,7,122,47,75,0,1,0.5,,balanced_accuracy,0.5
ChenBY_2023,0.1,0.01,,14,4,56,0,56,,1,,1,single_class_accuracy,1
BuschartA_2016,0.1,0.01,0.558333333333333,14,8,53,8,45,0.125,0.711111111111111,0.418055555555556,,balanced_accuracy,0.418055555555556
VQuintanaL_2024,0.1,0.01,0.529761904761905,14,5,53,21,32,0.0952380952380952,0.9375,0.516369047619048,,balanced_accuracy,0.516369047619048
ArmstrongA_2021,0.1,0.01,,14,6,13,13,0,0,,,0,single_class_accuracy,0
BelstromD_2017,0.1,0.01,0.71,14,7,20,10,10,0,1,0.5,,balanced_accuracy,0.5
BostanciN_2021,0.1,0.01,0.573696145124717,14,5,154,126,28,0,1,0.5,,balanced_accuracy,0.5
ChenLW_2022,0.1,0.01,,14,7,61,61,0,0,,,0,single_class_accuracy,0
CuiJ_2019,0.1,0.01,0.578977272727273,14,5,128,40,88,0,1,0.5,,balanced_accuracy,0.5
JiangQ_2021,0.1,0.01,,14,8,21,0,21,,1,,1,single_class_accuracy,1
LiYJ_2023,0.1,0.01,0.833333333333333,14,3,19,10,9,0,1,0.5,,balanced_accuracy,0.5
preprint_CastilhosJ_2021,0.1,0.01,,13,4,224,0,224,,0.0133928571428571,,0.0133928571428571,single_class_accuracy,0.0133928571428571
ShaiberA_2020,0.1,0.01,,14,6,35,35,0,0,,,0,single_class_accuracy,0
ZhuJY_2023,0.1,0.01,0.616438356164384,14,6,74,73,1,0,1,0.5,,balanced_accuracy,0.5
ZellerG_2014,0.1,0.01,0.544011544011544,14,9,54,21,33,0.0476190476190476,0.878787878787879,0.463203463203463,,balanced_accuracy,0.463203463203463
