study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.3,18,6,12,0.486111111111111,177,47
ZhangDY_2015,0.5,0.3,122,47,75,0.632340425531915,149,43
BuschartA_2016,0.5,0.3,53,8,45,0.466666666666667,176,42
VQuintanaL_2024,0.5,0.3,53,21,32,0.757440476190476,172,45
BelstromD_2017,0.5,0.3,20,10,10,0.75,173,40
BostanciN_2021,0.5,0.3,154,126,28,0.482426303854875,204,96
CuiJ_2019,0.5,0.3,128,40,88,0.665340909090909,161,39
LiYJ_2023,0.5,0.3,19,10,9,0.688888888888889,173,48
ZhuJY_2023,0.5,0.3,74,73,1,1,154,61
ZellerG_2014,0.5,0.3,54,21,33,0.66955266955267,175,63
