study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.1,18,6,12,0.611111111111111,152,27
ZhangDY_2015,1,0.1,122,47,75,0.60113475177305,135,46
BuschartA_2016,1,0.1,53,8,45,0.541666666666667,154,42
VQuintanaL_2024,1,0.1,53,21,32,0.751488095238095,151,35
BelstromD_2017,1,0.1,20,10,10,0.8,152,29
BostanciN_2021,1,0.1,154,126,28,0.508786848072562,157,23
CuiJ_2019,1,0.1,128,40,88,0.649715909090909,152,36
LiYJ_2023,1,0.1,19,10,9,0.633333333333333,151,56
ZhuJY_2023,1,0.1,74,73,1,0.712328767123288,143,34
ZellerG_2014,1,0.1,54,21,33,0.66955266955267,152,39
