study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.3,0.541666666666667,76,29,18,6,12,0.166666666666667,0.666666666666667,0.416666666666667,,balanced_accuracy,0.416666666666667
ZhangDY_2015,0.5,0.3,0.525390070921986,63,37,122,47,75,0.234042553191489,0.853333333333333,0.543687943262411,,balanced_accuracy,0.543687943262411
ChenBY_2023,0.5,0.3,,71,25,56,0,56,,0.678571428571429,,0.678571428571429,single_class_accuracy,0.678571428571429
BuschartA_2016,0.5,0.3,0.594444444444445,76,30,53,8,45,0.25,0.711111111111111,0.480555555555556,,balanced_accuracy,0.480555555555556
VQuintanaL_2024,0.5,0.3,0.703869047619048,73,27,53,21,32,0.333333333333333,0.8125,0.572916666666667,,balanced_accuracy,0.572916666666667
ArmstrongA_2021,0.5,0.3,,74,28,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.5,0.3,0.82,75,26,20,10,10,0.7,0.9,0.8,,balanced_accuracy,0.8
BostanciN_2021,0.5,0.3,0.578798185941043,82,15,154,126,28,0.0476190476190476,0.928571428571429,0.488095238095238,,balanced_accuracy,0.488095238095238
ChenLW_2022,0.5,0.3,,76,34,61,61,0,0.245901639344262,,,0.245901639344262,single_class_accuracy,0.245901639344262
CuiJ_2019,0.5,0.3,0.460511363636364,68,27,128,40,88,0.125,0.829545454545455,0.477272727272727,,balanced_accuracy,0.477272727272727
JiangQ_2021,0.5,0.3,,70,24,21,0,21,,0.619047619047619,,0.619047619047619,single_class_accuracy,0.619047619047619
LiYJ_2023,0.5,0.3,0.711111111111111,71,25,19,10,9,0.3,0.777777777777778,0.538888888888889,,balanced_accuracy,0.538888888888889
preprint_CastilhosJ_2021,0.5,0.3,,83,38,224,0,224,,0.433035714285714,,0.433035714285714,single_class_accuracy,0.433035714285714
ShaiberA_2020,0.5,0.3,,76,27,35,35,0,0.4,,,0.4,single_class_accuracy,0.4
ZhuJY_2023,0.5,0.3,0.684931506849315,65,22,74,73,1,0.0547945205479452,1,0.527397260273973,,balanced_accuracy,0.527397260273973
ZellerG_2014,0.5,0.3,0.613275613275613,75,26,54,21,33,0.19047619047619,0.878787878787879,0.534632034632035,,balanced_accuracy,0.534632034632035
