study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.1,0.583333333333333,392,95,18,6,12,0.333333333333333,0.583333333333333,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,1,0.1,0.626382978723404,361,100,122,47,75,0.297872340425532,0.84,0.568936170212766,,balanced_accuracy,0.568936170212766
ChenBY_2023,1,0.1,,385,108,56,0,56,,0.607142857142857,,0.607142857142857,single_class_accuracy,0.607142857142857
BuschartA_2016,1,0.1,0.652777777777778,395,109,53,8,45,0.375,0.466666666666667,0.420833333333333,,balanced_accuracy,0.420833333333333
VQuintanaL_2024,1,0.1,0.794642857142857,390,99,53,21,32,0.476190476190476,0.875,0.675595238095238,,balanced_accuracy,0.675595238095238
ArmstrongA_2021,1,0.1,,392,73,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,1,0.1,0.74,392,99,20,10,10,0.6,0.5,0.55,,balanced_accuracy,0.55
BostanciN_2021,1,0.1,0.536281179138322,408,110,154,126,28,0.317460317460317,0.75,0.533730158730159,,balanced_accuracy,0.533730158730159
ChenLW_2022,1,0.1,,398,106,61,61,0,0.278688524590164,,,0.278688524590164,single_class_accuracy,0.278688524590164
CuiJ_2019,1,0.1,0.663068181818182,390,90,128,40,88,0.1,0.954545454545455,0.527272727272727,,balanced_accuracy,0.527272727272727
JiangQ_2021,1,0.1,,392,105,21,0,21,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
LiYJ_2023,1,0.1,0.611111111111111,389,87,19,10,9,0.3,0.888888888888889,0.594444444444445,,balanced_accuracy,0.594444444444445
preprint_CastilhosJ_2021,1,0.1,,415,90,224,0,224,,0.397321428571429,,0.397321428571429,single_class_accuracy,0.397321428571429
ShaiberA_2020,1,0.1,,396,105,35,35,0,0.371428571428571,,,0.371428571428571,single_class_accuracy,0.371428571428571
ZhuJY_2023,1,0.1,0.671232876712329,375,95,74,73,1,0.342465753424658,0,0.171232876712329,,balanced_accuracy,0.171232876712329
ZellerG_2014,1,0.1,0.632034632034632,393,82,54,21,33,0.380952380952381,0.757575757575758,0.569264069264069,,balanced_accuracy,0.569264069264069
