study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.2,18,6,12,0.569444444444445,263,65
ZhangDY_2015,1,0.2,122,47,75,0.653617021276596,231,56
BuschartA_2016,1,0.2,53,8,45,0.594444444444445,268,53
VQuintanaL_2024,1,0.2,53,21,32,0.75,261,50
BelstromD_2017,1,0.2,20,10,10,0.72,266,74
BostanciN_2021,1,0.2,154,126,28,0.509353741496599,287,89
CuiJ_2019,1,0.2,128,40,88,0.61875,247,55
LiYJ_2023,1,0.2,19,10,9,0.555555555555556,260,80
ZhuJY_2023,1,0.2,74,73,1,0.904109589041096,241,81
ZellerG_2014,1,0.2,54,21,33,0.632034632034632,264,64
