study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.513888888888889,70,29
ZhangDY_2015,0.1,0.01,122,47,75,0.489645390070922,69,31
BuschartA_2016,0.1,0.01,53,8,45,0.613888888888889,70,29
VQuintanaL_2024,0.1,0.01,53,21,32,0.84375,70,25
BelstromD_2017,0.1,0.01,20,10,10,0.81,70,32
BostanciN_2021,0.1,0.01,154,126,28,0.565192743764172,70,35
CuiJ_2019,0.1,0.01,128,40,88,0.549715909090909,70,41
LiYJ_2023,0.1,0.01,19,10,9,0.588888888888889,70,31
ZhuJY_2023,0.1,0.01,74,73,1,0.589041095890411,70,36
ZellerG_2014,0.1,0.01,54,21,33,0.55988455988456,70,33
