study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.2,18,6,12,0.583333333333333,279,70
ZhangDY_2015,1,0.2,122,47,75,0.625248226950355,246,50
BuschartA_2016,1,0.2,53,8,45,0.594444444444445,284,72
VQuintanaL_2024,1,0.2,53,21,32,0.752976190476191,278,66
BelstromD_2017,1,0.2,20,10,10,0.83,282,79
BostanciN_2021,1,0.2,154,126,28,0.514172335600907,304,101
CuiJ_2019,1,0.2,128,40,88,0.630681818181818,263,61
LiYJ_2023,1,0.2,19,10,9,0.5,276,81
ZhuJY_2023,1,0.2,74,73,1,0.931506849315068,257,92
ZellerG_2014,1,0.2,54,21,33,0.616161616161616,280,70
