study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.2,18,6,12,0.472222222222222,11,6
ZhangDY_2015,1,0.2,122,47,75,0.529929078014185,11,5
BuschartA_2016,1,0.2,53,8,45,0.466666666666667,11,4
VQuintanaL_2024,1,0.2,53,21,32,0.697916666666667,11,3
BelstromD_2017,1,0.2,20,10,10,0.71,11,5
BostanciN_2021,1,0.2,154,126,28,0.59750566893424,11,7
CuiJ_2019,1,0.2,128,40,88,0.577840909090909,11,5
LiYJ_2023,1,0.2,19,10,9,0.833333333333333,11,3
ZhuJY_2023,1,0.2,74,73,1,0.602739726027397,11,4
ZellerG_2014,1,0.2,54,21,33,0.623376623376623,11,3
