study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.01,0.513888888888889,70,29,18,6,12,0.166666666666667,0.833333333333333,0.5,,balanced_accuracy,0.5
ZhangDY_2015,0.1,0.01,0.489645390070922,69,31,122,47,75,0.276595744680851,0.733333333333333,0.504964539007092,,balanced_accuracy,0.504964539007092
ChenBY_2023,0.1,0.01,,70,30,56,0,56,,0.946428571428571,,0.946428571428571,single_class_accuracy,0.946428571428571
BuschartA_2016,0.1,0.01,0.613888888888889,70,29,53,8,45,0,0.733333333333333,0.366666666666667,,balanced_accuracy,0.366666666666667
VQuintanaL_2024,0.1,0.01,0.84375,70,25,53,21,32,0.857142857142857,0.71875,0.787946428571429,,balanced_accuracy,0.787946428571429
ArmstrongA_2021,0.1,0.01,,70,30,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.1,0.01,0.81,70,32,20,10,10,0.3,1,0.65,,balanced_accuracy,0.65
BostanciN_2021,0.1,0.01,0.565192743764172,70,35,154,126,28,0,0.964285714285714,0.482142857142857,,balanced_accuracy,0.482142857142857
ChenLW_2022,0.1,0.01,,70,25,61,61,0,0.0163934426229508,,,0.0163934426229508,single_class_accuracy,0.0163934426229508
CuiJ_2019,0.1,0.01,0.549715909090909,70,41,128,40,88,0.2,0.840909090909091,0.520454545454546,,balanced_accuracy,0.520454545454546
JiangQ_2021,0.1,0.01,,70,32,21,0,21,,0.904761904761905,,0.904761904761905,single_class_accuracy,0.904761904761905
LiYJ_2023,0.1,0.01,0.588888888888889,70,31,19,10,9,0.1,1,0.55,,balanced_accuracy,0.55
preprint_CastilhosJ_2021,0.1,0.01,,69,33,224,0,224,,0.366071428571429,,0.366071428571429,single_class_accuracy,0.366071428571429
ShaiberA_2020,0.1,0.01,,70,33,35,35,0,0.0857142857142857,,,0.0857142857142857,single_class_accuracy,0.0857142857142857
ZhuJY_2023,0.1,0.01,0.589041095890411,70,36,74,73,1,0.0547945205479452,1,0.527397260273973,,balanced_accuracy,0.527397260273973
ZellerG_2014,0.1,0.01,0.55988455988456,70,33,54,21,33,0.0952380952380952,0.666666666666667,0.380952380952381,,balanced_accuracy,0.380952380952381
