study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.1,18,6,12,0.611111111111111,152,29
ZhangDY_2015,0.5,0.1,122,47,75,0.609078014184397,135,48
BuschartA_2016,0.5,0.1,53,8,45,0.533333333333333,154,48
VQuintanaL_2024,0.5,0.1,53,21,32,0.757440476190476,151,39
BelstromD_2017,0.5,0.1,20,10,10,0.82,152,32
BostanciN_2021,0.5,0.1,154,126,28,0.510487528344671,157,25
CuiJ_2019,0.5,0.1,128,40,88,0.643181818181818,152,39
LiYJ_2023,0.5,0.1,19,10,9,0.633333333333333,151,63
ZhuJY_2023,0.5,0.1,74,73,1,0.726027397260274,143,39
ZellerG_2014,0.5,0.1,54,21,33,0.682539682539683,152,44
