study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.611111111111111,103,27
ZhangDY_2015,0.5,0.01,122,47,75,0.555744680851064,102,34
BuschartA_2016,0.5,0.01,53,8,45,0.522222222222222,103,35
VQuintanaL_2024,0.5,0.01,53,21,32,0.822916666666667,104,26
BelstromD_2017,0.5,0.01,20,10,10,0.83,104,37
BostanciN_2021,0.5,0.01,154,126,28,0.530328798185941,105,34
CuiJ_2019,0.5,0.01,128,40,88,0.634943181818182,104,45
LiYJ_2023,0.5,0.01,19,10,9,0.577777777777778,104,35
ZhuJY_2023,0.5,0.01,74,73,1,0.589041095890411,104,42
ZellerG_2014,0.5,0.01,54,21,33,0.520923520923521,104,36
