set	system	auc	ci_low	ci_high	rank_in_set
Training	Digestive disease	0.911278388985395	0.88477509976132	0.937781678209471	1
Training	Respiratory disease	0.893255232029117	0.868386271910961	0.918124192147273	2
Training	Immune disease	0.869752300070771	0.826526829171752	0.91297777096979	3
Training	Oral disease	0.84022744466408	0.80080865924569	0.879646230082469	4
Training	Metabolic disease	0.720541401273885	0.639946651276216	0.801136151271555	5
External validation	Digestive disease	0.742021978021978	0.695620409387839	0.788423546656117	1
External validation	Oral disease	0.711934461934462	0.657007550062416	0.766861373806508	2
