feature,coef
Betaproteobacteria,0.0504902799278156
Fusobacteriia,0.0456118660667794
Tenericutes_unclassified,-0.0374898211171582
CFGB1781,0.0373178695625879
CFGB497,-0.0239240470294501
CFGB4196,0.0162861706922972
Candidatus_Nanosyncoccalia,0.0142190700281811
Candidatus_Gracilibacteria_unclassified,0.0141629235846532
Coriobacteriia,-0.0116621020979871
Candidatus_Saccharibacteria_unclassified,0.00942429547074078
Spirochaetia,-0.00722826466990406
Bacteroidota_unclassified,-0.00648321179758258
Candidatus_Saccharimonadia,-0.00551112639712128
Flavobacteriia,-0.00178097670821637
Candidatus_Absconditabacteria_unclassified,0.00100854803996027
