feature,coef
Tannerella,-0.0685101522694486
Pseudoleptotrichia,0.058601451377389
Neisseria,0.0582351063206937
Peptostreptococcaceae_unclassified,0.0563661048851556
GGB12443,-0.0516890654780632
GGB70946,-0.0488645593743175
Mitsuokella,-0.0452303712679565
Metamycoplasma,-0.0450956128265108
GGB49400,-0.0440965189668274
GGB1844,0.0435086703821714
Fusobacterium,0.0425757718782616
GGB1845,0.0385189428175196
GGB1025,-0.0329770497458199
GGB12783,0.031537946270282
GGB71270,0.0301074025220742
Limosilactobacillus,-0.0267273189461899
GGB49434,0.0240560540213733
Actinobaculum,0.0231718532038922
Pyramidobacter,-0.0229866353973992
GGB12441,0.0227278190283188
Phocaeicola,-0.0214150801326274
Mogibacterium,-0.0213606506958735
Leuconostoc,0.0195108540489376
GGB3883,-0.0174752095511992
Cardiobacterium,0.0164721326230769
Filifactor,-0.0137342002797231
GGB3008,0.0136859262180445
Centipeda,-0.0129912430610296
GGB3887,-0.0123701843187685
Candidatus_Saccharibacteria_unclassified,0.01161261250959
GGB4936,0.0107789078798728
Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,0.0102925403775703
Dialister,-0.0100189906021779
Lautropia,-0.00952367762644993
Rothia,0.00909834135510159
Peptidiphaga,-0.00844340656904249
GGB71456,-0.00772329394569598
GGB4733,0.00766882196801037
GGB2663,-0.00761236592239311
Capnocytophaga,-0.00753021432187385
Candidatus_Nanosynbacter,-0.0075161172856456
GGB1611,-0.00741060818191934
Bifidobacterium,-0.0071969351163904
Eggerthia,0.00704696086508027
GGB12794,0.00631320094869423
Abiotrophia,-0.00529327483867344
Selenomonas,0.00418709070026475
GGB96534,0.00397899947702482
Ligilactobacillus,-0.00329735977988226
Cutibacterium,-0.00322459218430733
Bacteroidota_unclassified,-0.00299569815018224
Alloscardovia,-0.00268973711067743
Catonella,0.00259435298659942
Eikenella,-0.0023519979573194
GGB12788,-0.00221744159830715
Prevotella,0.00198048040724323
GGB12785,0.00135103846038633
GGB1472,0.000766411624026999
Johnsonella,6.5871851706243e-06
