feature,coef
SGB9631_group,0.0650070531602519
SGB2053,-0.0533204093778901
SGB1321,-0.0519107235651398
SGB15873,0.0431239573447447
SGB8047_group,0.0421199267053835
SGB9450_group,0.0415361895123816
SGB9418,0.0401934210049873
SGB985,0.0381030248712594
SGB2483,-0.0371368990839603
SGB6011,-0.0364604936130685
SGB8059_group,0.0356398969710983
SGB5989_group,0.0352223402550081
SGB2048,-0.0330751385220533
SGB1459,0.0279319468770963
SGB1547,0.0262334054799754
SGB3936,0.025695615880339
SGB19290_group,0.0251800700056856
SGB6649,0.0248007423218368
SGB1536,0.0238290810714109
SGB15872,-0.0234440552587958
SGB5884,0.0211536268161521
SGB9649,0.0203753837884738
SGB9465_group,-0.0184913773246277
SGB1525,-0.0182327736650763
SGB6653,-0.0180836503043513
SGB6956,0.0168066147717106
SGB9737_group,-0.0159885143242777
SGB8053,0.0156698763487632
SGB1566,0.014315096585877
SGB19827_group,0.0140263316811877
SGB1483,0.0139861391731172
SGB1543,0.0136028095024174
SGB3934_group,0.0132256437865402
SGB8249,0.013205589411931
SGB19860_group,0.0131601201357201
SGB5270,-0.0118900619153628
SGB966,-0.0115890670280088
SGB1521,0.0107967199445887
SGB1484,0.010521917779024
SGB15892,0.00942481674009825
SGB6935,0.00939559924065112
SGB5897_group,-0.00937138676791237
SGB13165,-0.0090691083369645
SGB964,0.00857133601667864
SGB6889,0.00793673758582062
SGB2492,-0.00775786994729365
SGB6246,-0.00769859545825351
SGB5881,-0.00768275167379457
SGB19322_group,-0.006996049591812
SGB17154,0.00667179051241583
SGB96486,0.00573380171844316
SGB19880,0.00511031678451021
SGB9632,-0.00502466681362778
SGB19315,-0.00472900385803349
SGB19793_group,-0.00432682520524353
SGB17169,0.00412204743616047
SGB1567,-0.00364533851320965
SGB8071,-0.00322255974238303
SGB17161_group,0.00317650794341537
SGB8094,-0.00271508351033643
SGB19351,-0.00263404297923348
SGB6834,-0.00189509801432164
SGB17157,-0.00060802275079936
SGB6629,-0.000499256250240046
SGB17137_group,-0.000267216859343456
SGB6058,-3.18479932565105e-05
