model_label,training_cv_auc,pooled_external_auc,spearman_vs_final,model_type
"preprint_CastilhosJ_2021
(0/224)",0.782429910413754,0.655464690348411,0.834628869140164,LODO model
"BostanciN_2021
(126/28)",0.80571392356627,0.701269273362297,0.890057142297008,LODO model
"CuiJ_2019
(40/88)",0.806214060494803,0.715146094215862,0.970540649014073,LODO model
"ZhangDY_2015
(47/75)",0.801763045532791,0.676991225828435,0.93212978538828,LODO model
"ZhuJY_2023
(73/1)",0.777238046472489,0.705102649288696,0.938703436760909,LODO model
"ChenLW_2022
(61/0)",0.807513003000693,0.732771104864128,0.953609418540505,LODO model
"ChenBY_2023
(0/56)",0.796423827680192,0.719720589488031,0.954779411564494,LODO model
"ZellerG_2014
(21/33)",0.797755370678499,0.722548769060397,0.966986096445393,LODO model
"BuschartA_2016
(8/45)",0.810690631336929,0.733563335888917,0.965145077610163,LODO model
"VQuintanaL_2024
(21/32)",0.798081136950905,0.726825112871624,0.981541289979322,LODO model
"ShaiberA_2020
(35/0)",0.804003993864498,0.733520742823068,0.980520156641669,LODO model
"JiangQ_2021
(0/21)",0.797864908580196,0.721168753726893,0.980881128447366,LODO model
"BelstromD_2017
(10/10)",0.793677936759553,0.728707726382145,0.987592148965334,LODO model
"LiYJ_2023
(10/9)",0.801172442516269,0.725572876735667,0.994653249780944,LODO model
"Castro-NallarE_2015
(6/12)",0.803623275593818,0.720257262117727,0.994569984201867,LODO model
"ArmstrongA_2021
(13/0)",0.79952981003678,0.725215094982537,0.986242554973525,LODO model
Final model,0.798706356701293,0.727574750830565,1,Final model
